,state_name,assembly_constituency_number,assembly_ constituency_name,candidate_name, SEX , AGE , CATEGORY ,party_name, SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED ,total_votes_in_state
0,Maharashtra,1,Akkalkuwa ,ADV. K. C. PADAVI,MALE,61.0,ST,INC,Hand,82509,261.0,82770,41.25545786,278888.0
1,Maharashtra,1,Akkalkuwa ,AAMSHYA FULJI PADAVI,MALE,51.0,ST,SHS,Bow and Arrow,80532,142.0,80674,40.21073828,278888.0
2,Maharashtra,1,Akkalkuwa ,NAGESH DILVARSING PADVI,MALE,44.0,ST,IND,Gas Stove,21583,81.0,21664,10.79809398,278888.0
3,Maharashtra,1,Akkalkuwa ,NOTA,,,,NOTA,NOTA,4856,1.0,4857,2.420898379,278888.0
4,Maharashtra,1,Akkalkuwa ,ADV. KAILAS PRATAPSING VASAVE,MALE,28.0,ST,AAAP,Broom,4034,21.0,4055,2.021153578,278888.0
5,Maharashtra,1,Akkalkuwa ,BHARAT JALYA PAWARA,MALE,27.0,ST,IND,Cot,3782,2.0,3784,1.886077716,278888.0
6,Maharashtra,1,Akkalkuwa ,DR.SANJAY RAVLYA VALVI,MALE,27.0,ST,BTP,Auto- Rickshaw,2808,16.0,2824,1.407580198,278888.0
7, TURNOUT , TOTAL : ,,,,,,,,200104,524.0,200628,71.93855598,
8,Maharashtra,2,Shahada ,Rajesh Udesing Padvi,MALE,50.0,ST,BJP,Lotus,94405,526.0,94931,45.12079775,320555.0
9,Maharashtra,2,Shahada ,Adv.Padmakar Vijaysing Valvi,MALE,51.0,ST,INC,Hand,86510,430.0,86940,41.32266758,320555.0
10,Maharashtra,2,Shahada ,Eng.Jelsing Bijala Pawara,MALE,59.0,ST,IND,Cup & Saucer,20853,160.0,21013,9.987499584,320555.0
11,Maharashtra,2,Shahada ,Mali Jaysing Devchand,MALE,66.0,ST,CPIM,"Hammer, Sickle and Star",4052,8.0,4060,1.929721996,320555.0
12,Maharashtra,2,Shahada ,NOTA,,,,NOTA,NOTA,3443,6.0,3449,1.639313095,320555.0
13, TURNOUT , TOTAL : ,,,,,,,,209263,1130.0,210393,65.63397857,
14,Maharashtra,3,Nandurbar ,VIJAYKUMAR KRUSHNARAO GAVIT,MALE,64.0,ST,BJP,Lotus,120825,780.0,121605,64.51570118,339098.0
15,Maharashtra,3,Nandurbar ,UDESING KOCHARU PADVI,MALE,71.0,ST,INC,Hand,50955,254.0,51209,27.16816366,339098.0
16,Maharashtra,3,Nandurbar ,DIPA SHAMSHON VALVI,FEMALE,33.0,ST,VBA,Gas Cylinder,6683,51.0,6734,3.572622275,339098.0
17,Maharashtra,3,Nandurbar ,NOTA,,,,NOTA,NOTA,3497,24.0,3521,1.868013518,339098.0
18,Maharashtra,3,Nandurbar ,ANANDA SUKALAL KOLI,MALE,52.0,ST,IND,Cup & Saucer,2040,7.0,2047,1.086005019,339098.0
19,Maharashtra,3,Nandurbar ,VIPUL RAMSING VASAVE,MALE,25.0,ST,BSP,Elephant,1921,4.0,1925,1.021279756,339098.0
20,Maharashtra,3,Nandurbar ,Adv.PRAKASH MOHAN GANGURDE,MALE,31.0,ST,SWP,Bat,1437,11.0,1448,0.768214591,339098.0
21, TURNOUT , TOTAL : ,,,,,,,,187358,1131.0,188489,55.58540599,
22,Maharashtra,4,Nawapur ,Naik Shirishkumar Surupsing,MALE,47.0,ST,INC,Hand,74395,257.0,74652,34.29705554,287977.0
23,Maharashtra,4,Nawapur ,Sharad Krushnarao Gavit,MALE,56.0,ST,IND,Cup & Saucer,63240,77.0,63317,29.08946399,287977.0
24,Maharashtra,4,Nawapur ,Gavit Bharat Manikrao,MALE,48.0,ST,BJP,Lotus,58342,237.0,58579,26.9127045,287977.0
25,Maharashtra,4,Nawapur ,Dr. Ulhas Jayant Vasave,MALE,45.0,ST,BTP,Auto- Rickshaw,5969,40.0,6009,2.76068969,287977.0
26,Maharashtra,4,Nawapur ,Jagan Hurji Gavit,MALE,49.0,ST,VBA,Gas Cylinder,5458,4.0,5462,2.509383772,287977.0
27,Maharashtra,4,Nawapur ,NOTA,,,,NOTA,NOTA,4949,1.0,4950,2.274157758,287977.0
28,Maharashtra,4,Nawapur ,Dr. Rakesh Rajya Gavit,MALE,41.0,ST,IND,Air Conditioner,1286,,1286,0.590821591,287977.0
29,Maharashtra,4,Nawapur ,Adv. Prakash Mohan Gangurde,MALE,31.0,ST,IND,Bat,1141,13.0,1154,0.530177384,287977.0
30,Maharashtra,4,Nawapur ,Arjunsing Diwansing Vasave,MALE,54.0,ST,IND,Road Roller,1038,1.0,1039,0.477343416,287977.0
31,Maharashtra,4,Nawapur ,Ramu Maharya Valvi,MALE,49.0,ST,PPID,Black Board,735,3.0,738,0.339056248,287977.0
32,Maharashtra,4,Nawapur ,Dr. Sunil Kuthya Gavit,MALE,41.0,ST,AAAP,Broom,475,2.0,477,0.219146111,287977.0
33, TURNOUT , TOTAL : ,,,,,,,,217028,635.0,217663,75.58346674,
34,Maharashtra,5,Sakri ,Manjula Tulshiram Gavit,FEMALE,56.0,ST,IND,Telephone,75738,428.0,76166,36.60102452,342992.0
35,Maharashtra,5,Sakri ,Mohan Gokul Suryawanshi,MALE,55.0,ST,BJP,Lotus,68498,403.0,68901,33.10988092,342992.0
36,Maharashtra,5,Sakri ,Dhanaji Sitaram Ahire,MALE,66.0,ST,INC,Hand,25187,115.0,25302,12.15869446,342992.0
37,Maharashtra,5,Sakri ,Yashwant Devman Malache,MALE,49.0,ST,VBA,Gas Cylinder,14006,26.0,14032,6.742976867,342992.0
38,Maharashtra,5,Sakri ,Rajkumar Pandit Sonawane,MALE,50.0,ST,IND,Whistle,9055,3.0,9058,4.352756874,342992.0
39,Maharashtra,5,Sakri ,NOTA,,,,NOTA,NOTA,4140,7.0,4147,1.992811079,342992.0
40,Maharashtra,5,Sakri ,Nandu Rajaram Malache,MALE,43.0,ST,BTP,Auto- Rickshaw,3742,1.0,3743,1.79867178,342992.0
41,Maharashtra,5,Sakri ,Hiraman Deva Sabale,MALE,60.0,ST,IND,Cup & Saucer,2865,7.0,2872,1.380118982,342992.0
42,Maharashtra,5,Sakri ,Rangnath Rama Bhavare,MALE,56.0,ST,BSP,Elephant,2274,2.0,2276,1.093715461,342992.0
43,Maharashtra,5,Sakri ,Chaure Sandip Shantaraam,MALE,34.0,ST,IND,Tractor Chalata Kissan,1598,3.0,1601,0.769349057,342992.0
44, TURNOUT , TOTAL : ,,,,,,,,207103,995.0,208098,60.67138592,
45,Maharashtra,6,Dhule Rural,Kunalbaba Rohidas Patil,MALE,45.0,GENERAL,INC,Hand,124610,965.0,125575,51.18261075,372989.0
46,Maharashtra,6,Dhule Rural,Maisaheb Dnyanjyoti Manohar Patil,FEMALE,49.0,GENERAL,BJP,Lotus,110555,456.0,111011,45.24652839,372989.0
47,Maharashtra,6,Dhule Rural,Rajdip Bhatu Agale,MALE,44.0,SC,VBA,Gas Cylinder,4199,17.0,4216,1.718382536,372989.0
48,Maharashtra,6,Dhule Rural,NOTA,,,,NOTA,NOTA,2239,9.0,2248,0.916253307,372989.0
49,Maharashtra,6,Dhule Rural,Baisane Nandu Sukdeo,MALE,36.0,SC,BSP,Elephant,1468,3.0,1471,0.599558992,372989.0
50,Maharashtra,6,Dhule Rural,Dr. Bhupesh Prakash Patil,MALE,36.0,GENERAL,IND,Tractor Chalata Kissan,826,,826,0.336666028,372989.0
51, TURNOUT , TOTAL : ,,,,,,,,243897,1450.0,245347,65.77861546,
52,Maharashtra,7,Dhule City,Shah Faruk Anwar,MALE,45.0,GENERAL,AIMIM,Kite,46597,82.0,46679,28.93171028,322026.0
53,Maharashtra,7,Dhule City,Rajwardhan Raghujirao Kadambande (Rajubaba),MALE,59.0,GENERAL,IND,Balloon,42973,399.0,43372,26.882027,322026.0
54,Maharashtra,7,Dhule City,Anil Anna Gote,MALE,71.0,GENERAL,LKSGM,Whistle,42056,376.0,42432,26.29941367,322026.0
55,Maharashtra,7,Dhule City,Hilal Lala Mali,MALE,48.0,GENERAL,SHS,Bow and Arrow,22267,160.0,22427,13.90028635,322026.0
56,Maharashtra,7,Dhule City,NOTA,,,,NOTA,NOTA,1366,5.0,1371,0.849747741,322026.0
57,Maharashtra,7,Dhule City,Ravindra Suresh Damodar,MALE,30.0,SC,BSP,Elephant,1256,8.0,1264,0.783428989,322026.0
58,Maharashtra,7,Dhule City,Mayur Devidas Ahirrao,MALE,32.0,GENERAL,IND,Winnower,1033,1.0,1034,0.640874664,322026.0
59,Maharashtra,7,Dhule City,Gorakh Babanlal Sharma,MALE,44.0,GENERAL,IND,Key,897,,897,0.55596187,322026.0
60,Maharashtra,7,Dhule City,Mansuri Asif Inayat,MALE,37.0,GENERAL,SP,Bicycle,798,2.0,800,0.495841133,322026.0
61,Maharashtra,7,Dhule City,Kulkarni Prachi Girish,FEMALE,48.0,GENERAL,MNS,Railway Engine,694,6.0,700,0.433860991,322026.0
62,Maharashtra,7,Dhule City,Hemlata Sunil Sonawane,FEMALE,40.0,ST,IND,Walking Stick,366,,366,0.226847318,322026.0
